time,C7_gyr_x,C7_gyr_y,C7_gyr_z,C7_acc_x,C7_acc_y,C7_acc_z,C7_mag_x,C7_mag_y,C7_mag_z
0.0,0.1220703125,0.06103515625,0.244140625,-0.9438764610736412,-0.1383098849452192,-0.2805261391033662,21.5,13.6875,-12.125
0.5,-0.48828125,-0.30517578125,0.18310546875,-0.9436323129978332,-0.1379436628315073,-0.2745445112460707,23.9375,14.8125,-11.25
1.0,0.0,-0.3662109375,-0.1220703125,-0.9448530533768732,-0.1387981810968352,-0.2761314737388226,21.875,13.375,-10.4375
1.5,0.18310546875,0.3662109375,0.0,-0.9446089053010652,-0.1391644032105471,-0.28247932370983,22.1875,15.1875,-11.6875
2.0,-0.30517578125,0.244140625,0.1220703125,-0.9472945341349528,-0.1380657368694113,-0.2837000640888699,22.1875,13.6875,-10.4375
2.5,0.67138671875,0.0,0.30517578125,-0.9450972014526812,-0.1435590685750908,-0.2780846583452864,22.1875,13.375,-8.6875
3.0,-0.732421875,1.5869140625,0.244140625,-0.9483932004760888,-0.1370891445661793,-0.2700277718436231,23.625,14.8125,-13.8125
3.5,-0.6103515625,-0.06103515625,-0.1220703125,-0.945585497604297,-0.1366008484145634,-0.2697836237678152,22.5625,13.6875,-12.5
4.0,1.220703125,-0.30517578125,0.9765625,-0.9431440168462172,-0.1427045503097628,-0.2721030304879909,22.1875,13.6875,-11.6875
4.5,1.8310546875,-7.32421875,0.0,-0.9525437177648244,-0.1098666341135898,-0.2884609515671255,22.1875,13.0,-13.0
5.0,1.46484375,0.06103515625,-1.708984375,-0.9866023743400372,-0.0750755333109531,-0.1661427655873287,21.125,12.1875,-11.25
5.5,7.38525390625,0.3662109375,2.25830078125,-0.9754936368907744,-0.1068147831659901,-0.2133854182561723,23.25,12.5625,-10.4375
6.0,-0.9765625,16.17431640625,-1.708984375,-0.9444868312631612,-0.0585955381939146,-0.3382671590319528,22.9375,13.375,-9.1875
6.5,2.685546875,-3.173828125,-1.03759765625,-0.9530320139164404,-0.0451673940244758,-0.3078707235938597,24.6875,12.5625,-10.4375
7.0,-9.21630859375,-9.6435546875,1.46484375,-0.9376506851405376,-0.108767967772454,-0.3747672963652455,23.625,13.375,-8.6875
7.5,3.60107421875,-4.57763671875,-3.90625,-0.95730460524308,-0.0938749351481673,-0.2437818536942655,21.5,14.4375,-12.125
8.0,5.615234375,-3.41796875,1.40380859375,-0.9501022370067446,-0.1070589312417981,-0.15149388103885,23.25,13.375,-15.0625
8.5,-6.9580078125,-7.87353515625,1.64794921875,-0.9758598590044862,-0.1164586321604052,-0.1763969847712637,20.8125,11.4375,-13.375
9.0,-8.48388671875,-0.67138671875,-2.3193359375,-0.9702444532609028,-0.0593279824213385,-0.2009338663899655,21.875,13.375,-15.5
9.5,-5.126953125,6.2255859375,5.06591796875,-0.9826960051271096,-0.0334482863856929,-0.1818903164769432,21.5,13.6875,-14.25
10.0,2.0751953125,1.64794921875,-1.03759765625,-0.9420453505050812,-0.1073030793176061,-0.2659993285927915,23.25,11.8125,-12.125
10.5,-5.615234375,-2.50244140625,-0.9765625,-0.9692678609576708,-0.075563829462569,-0.2259590441602832,22.9375,12.1875,-12.5
