time,w,x,y,z
0.0,0.39653,-0.11586,0.79225,-0.44793
0.5,0.60536,0.47125,0.62858,0.13233
1.0,0.40815,0.42552,0.25503,-0.76662
1.5,0.48322,0.56108,0.6421,-0.1995
2.0,0.32599,0.66587,0.37524,-0.55631
2.5,0.31084,0.67652,0.35604,-0.56497
3.0,0.29201,0.69145,0.33635,-0.569
3.5,0.27854,0.69902,0.31979,-0.576
4.0,0.26771,0.70641,0.30123,-0.58209
4.5,0.2606,0.69497,0.27456,-0.61156
5.0,0.23896,0.69626,0.28291,-0.61509
5.5,0.20978,0.7115,0.26455,-0.61648
6.0,0.19717,0.7467,0.29587,-0.56248
6.5,0.17988,0.74523,0.27915,-0.57846
7.0,0.21809,0.72012,0.29831,-0.58752
7.5,0.19174,0.70906,0.29659,-0.61055
8.0,0.16802,0.70957,0.25949,-0.63344
8.5,0.19301,0.68883,0.26341,-0.64741
9.0,0.2056,0.68846,0.29045,-0.63219
9.5,0.22145,0.71697,0.28434,-0.59696
10.0,0.18981,0.72973,0.28104,-0.59393
10.5,0.19734,0.72133,0.28705,-0.59882
11.0,0.1773,0.70639,0.27422,-0.62822
11.5,0.14311,0.74636,0.29866,-0.57763
12.0,0.17167,0.69518,0.27037,-0.64389
12.5,0.18713,0.68414,0.29703,-0.63952
13.0,0.19812,0.67668,0.30449,-0.64062
13.5,0.20001,0.67725,0.30661,-0.6384
14.0,0.21131,0.67592,0.31045,-0.63431
14.5,0.20966,0.67342,0.30845,-0.63847
15.0,0.21076,0.67085,0.31468,-0.63778
15.5,0.2142,0.6739,0.31227,-0.63459
16.0,0.20883,0.72672,0.2933,-0.58533
16.5,0.22618,0.7425,0.27337,-0.56839
17.0,0.2526,0.71906,0.37394,-0.529
17.5,0.2332,0.71892,0.35451,-0.5508
18.0,0.1323,0.79112,0.27486,-0.53082
18.5,0.13912,0.78205,0.26159,-0.54852
19.0,0.11895,0.74737,0.24791,-0.60514
19.5,0.11372,0.74494,0.23328,-0.61479
20.0,0.10491,0.77976,0.20699,-0.58176
20.5,0.06662,0.82397,0.16897,-0.5371
21.0,0.1809,0.77425,0.21482,-0.56772
21.5,0.17615,0.76739,0.20013,-0.58335
22.0,0.18662,0.7602,0.21275,-0.58502
22.5,0.1671,0.77472,0.23393,-0.56342
23.0,0.11739,0.78051,0.22161,-0.57291
