time,w,x,y,z
0.0,0.42361,-0.38157,-0.22023,-0.79087
0.5,0.20333,-0.96799,-0.13846,-0.05496
1.0,0.2271,-0.46442,-0.85402,0.06536
1.5,0.22192,-0.67199,-0.69577,0.12777
2.0,0.20612,-0.46453,-0.85245,0.12757
2.5,0.21142,-0.46855,-0.84825,0.12843
3.0,0.21341,-0.47876,-0.84194,0.12896
3.5,0.21977,-0.48065,-0.83896,0.13059
4.0,0.22877,-0.49157,-0.8308,0.12666
4.5,0.25783,-0.47053,-0.83183,0.14305
5.0,0.24644,-0.51861,-0.77949,0.2516
5.5,0.26786,-0.53509,-0.7576,0.26125
6.0,0.28727,-0.42376,-0.8591,-0.03344
6.5,0.30644,-0.4114,-0.85824,-0.0234
7.0,0.30157,-0.40555,-0.86275,-0.02234
7.5,0.27607,-0.43647,-0.85486,0.05387
8.0,0.24883,-0.46708,-0.84348,0.09375
8.5,0.27155,-0.4706,-0.83252,0.1094
9.0,0.25428,-0.47159,-0.83294,0.13937
9.5,0.25738,-0.45822,-0.84696,0.08236
10.0,0.21787,-0.41726,-0.88246,0.01204
10.5,0.18441,-0.43336,-0.88171,0.03273
11.0,0.25114,-0.43692,-0.8635,-0.02896
11.5,0.24462,-0.46151,-0.85103,0.05781
12.0,0.25899,-0.48432,-0.83381,0.05822
12.5,0.29586,-0.42064,-0.8568,-0.04494
13.0,0.31315,-0.42188,-0.84983,-0.04486
13.5,0.3038,-0.42949,-0.84938,-0.04523
14.0,0.30054,-0.43366,-0.84836,-0.04643
14.5,0.30153,-0.44067,-0.84433,-0.04737
15.0,0.30164,-0.44232,-0.84349,-0.04616
15.5,0.29813,-0.4491,-0.84132,-0.04304
16.0,0.31255,-0.45136,-0.83524,-0.03474
16.5,0.28758,-0.48157,-0.82508,-0.07035
17.0,0.39173,-0.46666,-0.79331,-0.00519
17.5,0.51962,-0.54152,-0.62586,-0.21528
18.0,0.50214,-0.54539,-0.61009,-0.28032
18.5,0.57197,-0.50196,-0.6025,-0.24149
19.0,0.54321,-0.52299,-0.62427,-0.20496
19.5,0.55955,-0.53113,-0.63253,-0.073
20.0,0.56772,-0.53591,-0.62101,-0.07136
20.5,0.56546,-0.47012,-0.64945,-0.19523
21.0,0.57687,-0.46544,-0.64674,-0.1805
21.5,0.57361,-0.47041,-0.66427,-0.09409
22.0,0.56314,-0.44254,-0.69414,-0.07411
22.5,0.59346,-0.39063,-0.67654,-0.19528
23.0,0.56459,-0.36255,-0.70386,-0.23392
23.5,0.58272,-0.35712,-0.69654,-0.21908
24.0,0.58362,-0.35443,-0.69609,-0.22242
24.5,0.57867,-0.31485,-0.71768,-0.22633
25.0,0.57872,-0.3446,-0.70245,-0.23058
25.5,0.58205,-0.33652,-0.70282,-0.23293
26.0,0.57953,-0.33452,-0.7061,-0.23219
26.5,0.58005,-0.33377,-0.70556,-0.23363
27.0,0.58377,-0.34704,-0.69517,-0.23614
27.5,0.5839,-0.33572,-0.70051,-0.23641
28.0,0.58486,-0.33755,-0.69943,-0.2346
28.5,0.58586,-0.34605,-0.69394,-0.23603
29.0,0.58668,-0.34453,-0.69406,-0.23585
29.5,0.58447,-0.3357,-0.69964,-0.23759
30.0,0.58581,-0.33678,-0.69836,-0.23651
30.5,0.58584,-0.33607,-0.69835,-0.2375
31.0,0.58712,-0.33822,-0.69542,-0.23987
31.5,0.58544,-0.33693,-0.69713,-0.2408
