time,w,x,y,z
0.0,0.3659,-0.45163,-0.33143,-0.74395
0.5,0.47629,-0.83478,-0.2145,0.17672
1.0,0.24124,-0.76472,-0.47001,-0.36764
1.5,0.43173,-0.86249,-0.25688,0.05635
2.0,0.37682,-0.83862,-0.38747,-0.07426
2.5,0.38026,-0.83261,-0.39708,-0.06895
3.0,0.37634,-0.83794,-0.38885,-0.07263
3.5,0.38036,-0.83456,-0.39268,-0.06993
4.0,0.38419,-0.83041,-0.398,-0.06816
4.5,0.4274,-0.81025,-0.40144,-0.0067
5.0,0.32325,-0.84072,-0.30815,0.30819
5.5,0.33051,-0.84311,-0.26301,0.33329
6.0,0.40263,-0.70934,-0.55314,-0.16575
6.5,0.3892,-0.71515,-0.51592,-0.26719
7.0,0.30772,-0.79262,-0.51204,-0.12549
7.5,0.39604,-0.83569,-0.37615,0.06697
8.0,0.47475,-0.79349,-0.34542,-0.16388
8.5,0.57019,-0.76265,-0.30204,0.05655
9.0,0.48014,-0.76766,-0.35268,0.23831
9.5,0.4782,-0.72443,-0.46122,-0.1853
10.0,0.48952,-0.5952,-0.4202,-0.48044
10.5,0.47805,-0.77554,-0.40705,-0.06864
11.0,0.43818,-0.79681,-0.33958,0.24302
11.5,0.43207,-0.81059,-0.20245,0.34072
12.0,0.55813,-0.76106,-0.29728,0.14866
12.5,0.41266,-0.8774,-0.21782,0.1159
13.0,0.37708,-0.88865,-0.22969,0.12511
13.5,0.37687,-0.88851,-0.23052,0.12498
14.0,0.36435,-0.88321,-0.26241,0.1364
14.5,0.3659,-0.88246,-0.26397,0.13399
15.0,0.36465,-0.87113,-0.29354,0.14924
15.5,0.35515,-0.86781,-0.31156,0.15481
16.0,0.44041,-0.58157,-0.67935,0.07944
16.5,0.60116,-0.56386,-0.54227,-0.16704
17.0,0.09152,-0.68812,-0.68688,0.21367
17.5,0.05237,-0.68267,-0.65063,0.32934
18.0,0.60589,-0.63701,-0.46784,-0.09582
18.5,0.5497,-0.69029,-0.4644,0.08116
19.0,0.63607,-0.56802,-0.3059,0.42434
19.5,0.60833,-0.55002,-0.29741,0.48922
20.0,0.77804,-0.48381,-0.3909,0.09056
20.5,0.71758,-0.4447,-0.49721,-0.20347
21.0,0.559,-0.50566,-0.62775,0.19524
21.5,0.58482,-0.58311,-0.41578,0.38261
22.0,0.48572,-0.55692,-0.67381,0.00146
22.5,0.60987,-0.34236,-0.66149,-0.2728
23.0,0.65868,-0.46242,-0.51163,-0.30251
23.5,0.65967,-0.45899,-0.51127,-0.305
24.0,0.67685,-0.4274,-0.51877,-0.30058
24.5,0.66339,-0.44533,-0.51396,-0.31257
25.0,0.66456,-0.46172,-0.49724,-0.31336
25.5,0.66324,-0.4527,-0.50743,-0.31294
26.0,0.66708,-0.44603,-0.50944,-0.31109
26.5,0.6636,-0.45485,-0.50352,-0.31536
27.0,0.6633,-0.45689,-0.50638,-0.30839
27.5,0.66283,-0.45464,-0.50998,-0.30679
28.0,0.66073,-0.45854,-0.5074,-0.30978
28.5,0.661,-0.45594,-0.51026,-0.30834
29.0,0.66259,-0.44868,-0.51604,-0.30595
29.5,0.65775,-0.45817,-0.51371,-0.30624
30.0,0.65918,-0.45528,-0.51413,-0.30679
30.5,0.65843,-0.45732,-0.51013,-0.312
31.0,0.65919,-0.45336,-0.51319,-0.31115
31.5,0.65873,-0.45378,-0.51338,-0.3112
32.0,0.65783,-0.45306,-0.51655,-0.3089
32.5,0.65853,-0.45378,-0.51712,-0.30539
33.0,0.52509,-0.53775,-0.65865,-0.05074
33.5,0.499,-0.56548,-0.55891,0.34595
34.0,0.5426,-0.56983,-0.51387,0.34229
34.5,0.65098,-0.50193,-0.48585,-0.29552
35.0,0.68141,-0.45444,-0.47802,-0.31775
35.5,0.54321,-0.65099,-0.5311,-0.00491
36.0,0.59767,-0.69351,-0.39889,-0.05894
36.5,0.60713,-0.67248,-0.41617,-0.0791
37.0,0.59836,-0.42751,-0.51118,-0.4453
37.5,0.54987,-0.66872,-0.4663,-0.18497
38.0,0.60008,-0.72155,-0.30738,-0.16009
38.5,0.60731,-0.71774,-0.30603,-0.15045
39.0,0.60991,-0.7158,-0.30652,-0.14808
39.5,0.61114,-0.71339,-0.30257,-0.16214
40.0,0.6231,-0.69231,-0.32643,-0.16174
40.5,0.61794,-0.72868,-0.26455,-0.13254
41.0,0.59804,-0.74221,-0.26804,-0.14101
41.5,0.59581,-0.73937,-0.2788,-0.14442
42.0,0.59315,-0.74108,-0.27796,-0.14816
42.5,0.59204,-0.74166,-0.27853,-0.14864
43.0,0.59271,-0.74134,-0.27843,-0.14773
43.5,0.59278,-0.7415,-0.27821,-0.14705
44.0,0.59307,-0.74172,-0.27811,-0.14496
44.5,0.59318,-0.74195,-0.27769,-0.14412
45.0,0.46007,-0.74587,-0.41806,0.24059
45.5,0.49465,-0.66581,-0.51052,0.22799
46.0,0.60926,-0.65465,-0.38728,-0.22411
46.5,0.46806,-0.7665,-0.44119,0.00706
47.0,0.51571,-0.74722,-0.41891,0.02376
47.5,0.74511,-0.5581,-0.23746,0.27851
48.0,0.7613,-0.52086,-0.20932,0.32507
48.5,0.78511,-0.55464,-0.21602,0.17335
49.0,0.70774,-0.54651,-0.23934,0.37976
49.5,0.74694,-0.56221,-0.21607,0.28254
50.0,0.72563,-0.59415,-0.22446,0.26526
50.5,0.75825,-0.54438,-0.23913,0.26807
51.0,0.77025,-0.50444,-0.28085,0.27148
51.5,0.90215,-0.40248,-0.15215,0.04776
52.0,0.91398,-0.32907,-0.14077,-0.19426
52.5,0.91108,-0.31754,-0.23309,-0.12377
53.0,0.86372,-0.4429,-0.18481,0.15801
