time,w,x,y,z
0.0,0.39983,0.33054,-0.25384,0.81564
0.5,0.21729,0.9404,-0.24387,0.09691
1.0,0.25304,0.45008,-0.85218,-0.09183
1.5,0.23187,0.85397,-0.46238,0.04435
2.0,0.25979,0.73578,-0.62616,-0.00772
2.5,0.25849,0.72726,-0.63593,-0.01181
3.0,0.25338,0.71926,-0.64688,-0.0158
3.5,0.25501,0.72179,-0.64334,-0.01856
4.0,0.26015,0.7216,-0.6415,-0.01856
4.5,0.29273,0.71021,-0.64039,-0.00872
5.0,0.32939,0.73548,-0.57946,-0.12422
5.5,0.33981,0.72539,-0.58925,-0.10674
6.0,0.28879,0.62055,-0.72657,0.06925
6.5,0.34977,0.59193,-0.72394,0.05965
7.0,0.33777,0.64566,-0.68273,0.05714
7.5,0.32755,0.73045,-0.59969,-0.01287
8.0,0.3217,0.76159,-0.56239,-0.02282
8.5,0.33023,0.74146,-0.57965,-0.07426
9.0,0.34627,0.75143,-0.55683,-0.07524
9.5,0.3304,0.72092,-0.60942,0.01479
10.0,0.2981,0.73258,-0.61215,0.00394
10.5,0.30711,0.72593,-0.61559,0.0025
11.0,0.26775,0.76547,-0.58309,-0.05274
11.5,0.25968,0.78088,-0.5565,-0.11604
12.0,0.27081,0.77669,-0.55858,-0.10801
12.5,0.22763,0.77504,-0.58901,-0.03162
13.0,0.20864,0.76872,-0.60295,-0.04751
13.5,0.21931,0.73758,-0.63801,-0.03362
14.0,0.22592,0.72703,-0.64807,-0.02527
14.5,0.23332,0.71688,-0.65689,-0.01982
15.0,0.23435,0.71697,-0.65653,-0.01557
15.5,0.23262,0.72028,-0.65359,-0.01179
16.0,0.26868,0.69406,-0.66767,0.025
16.5,0.17857,0.63517,-0.75136,0.02753
17.0,0.16585,0.67327,-0.71892,0.0518
17.5,0.15005,0.7292,-0.66791,-0.0102
18.0,0.18229,0.71502,-0.66479,0.11916
18.5,0.2145,0.70008,-0.67227,0.11051
19.0,0.23411,0.72515,-0.64676,0.03804
19.5,0.23447,0.77559,-0.5863,-0.01331
20.0,0.22231,0.75006,-0.62313,-0.00304
20.5,0.15865,0.67265,-0.71625,0.10086
21.0,0.28308,0.71116,-0.64418,0.00272
21.5,0.24313,0.72007,-0.6475,-0.05928
22.0,0.25257,0.7103,-0.65323,-0.07232
22.5,0.23011,0.71055,-0.66185,-0.06621
23.0,0.23136,0.68526,-0.68696,-0.0725
23.5,0.26131,0.67733,-0.68524,-0.06048
24.0,0.27243,0.68505,-0.67389,-0.05118
24.5,0.26847,0.69386,-0.66733,-0.03747
25.0,0.28278,0.66755,-0.68781,-0.04012
25.5,0.28597,0.68214,-0.67226,-0.0351
