time,w,x,y,z
0.0,0.33684,0.53218,-0.33057,0.70378
0.5,0.57519,0.80185,-0.01109,-0.16288
1.0,0.32574,0.73828,-0.47725,0.34974
1.5,0.59044,0.76206,-0.25692,-0.06193
2.0,0.50088,0.81867,-0.05438,0.27716
2.5,0.48925,0.8284,-0.05086,0.26844
3.0,0.48064,0.83645,-0.05066,0.25888
3.5,0.47204,0.84225,-0.04854,0.25629
4.0,0.47281,0.84343,-0.04245,0.25205
4.5,0.42574,0.8753,-0.02399,0.22884
5.0,0.36916,0.90565,0.15143,-0.14612
5.5,0.40269,0.89609,0.12074,-0.1435
6.0,0.3153,0.88954,-0.21169,0.2527
6.5,0.21996,0.90283,-0.17214,0.3278
7.0,0.23743,0.95026,-0.09569,0.17974
7.5,0.25583,0.95859,0.12552,0.03379
8.0,0.27565,0.9266,0.06809,0.24875
8.5,0.55116,0.81704,0.10005,0.14125
9.0,0.5931,0.77225,0.11935,0.19505
9.5,0.55488,0.73744,-0.05489,0.38276
10.0,0.53652,0.74702,-0.06127,0.38812
10.5,0.54525,0.74572,-0.07964,0.37485
11.0,0.56485,0.76909,-0.09313,0.28497
11.5,0.49084,0.86845,0.05962,-0.04858
12.0,0.70772,0.52039,-0.23513,0.41586
12.5,0.64981,0.58024,-0.18417,0.45567
13.0,0.66189,0.57162,-0.1761,0.4521
13.5,0.65736,0.57669,-0.17632,0.45217
14.0,0.64378,0.57767,-0.15836,0.47649
14.5,0.62454,0.58916,-0.13695,0.49434
15.0,0.5991,0.60321,-0.10414,0.5164
15.5,0.58768,0.60862,-0.08567,0.52642
16.0,0.34182,0.54599,-0.40238,0.65103
16.5,0.27913,0.43602,-0.06378,0.85364
17.0,0.3418,0.87092,-0.12774,0.32905
17.5,0.35193,0.85998,-0.12586,0.34783
18.0,0.38949,0.58371,0.03591,0.71148
18.5,0.56266,0.58286,0.13091,0.57245
19.0,0.81802,0.45476,0.20207,0.28994
19.5,0.82682,0.44576,0.22478,0.25967
20.0,0.49997,0.61335,0.07011,0.60682
20.5,0.6388,0.58273,0.0208,0.50278
21.0,0.65353,0.46632,0.06101,0.59367
21.5,0.66467,0.46069,0.07987,0.58298
22.0,0.65627,0.47739,0.11022,0.57405
22.5,0.64821,0.48301,0.13825,0.57243
23.0,0.65694,0.45438,0.13064,0.58752
23.5,0.65293,0.44851,0.12792,0.597
24.0,0.63523,0.45201,0.12474,0.61389
24.5,0.64712,0.4419,0.09786,0.61372
25.0,0.64154,0.43671,0.09742,0.62327
25.5,0.63868,0.44537,0.11501,0.61705
26.0,0.64083,0.44922,0.11602,0.61182
26.5,0.63137,0.46506,0.12365,0.60832
27.0,0.63103,0.45899,0.13261,0.61139
27.5,0.62769,0.47102,0.13604,0.60489
28.0,0.62537,0.47167,0.13527,0.60695
28.5,0.62634,0.4703,0.1387,0.60623
29.0,0.62092,0.47079,0.14442,0.61008
29.5,0.62075,0.47792,0.14238,0.60518
30.0,0.61844,0.47955,0.14286,0.60614
30.5,0.62724,0.47826,0.13841,0.59911
31.0,0.62489,0.47691,0.14259,0.60165
31.5,0.62731,0.47781,0.13967,0.5991
32.0,0.63045,0.47667,0.13733,0.59725
32.5,0.63889,0.47589,0.13071,0.59036
33.0,0.70641,0.63258,0.1234,0.29471
33.5,0.85308,0.43077,0.1464,0.2578
34.0,0.57364,0.52717,-0.12072,0.61456
34.5,0.37393,0.31227,0.14069,0.86204
35.0,0.71633,0.36252,-0.20728,0.55793
35.5,0.67892,0.19631,-0.21759,0.67392
36.0,0.64091,0.23641,-0.20942,0.69988
36.5,0.64866,0.22627,-0.19866,0.69916
37.0,0.59632,0.24087,-0.23403,0.72936
37.5,0.58758,0.26184,-0.24949,0.72402
38.0,0.51403,0.29933,-0.24288,0.76656
38.5,0.50451,0.3029,-0.23486,0.77383
39.0,0.50339,0.30848,-0.23461,0.77242
39.5,0.51142,0.31794,-0.21909,0.76786
40.0,0.52231,0.31192,-0.21437,0.76432
40.5,0.54488,0.31335,-0.22808,0.74375
41.0,0.5525,0.3016,-0.21857,0.74583
41.5,0.53431,0.30745,-0.21031,0.75895
42.0,0.53233,0.30643,-0.21713,0.75883
42.5,0.52677,0.30997,-0.21418,0.7621
43.0,0.52376,0.31098,-0.21525,0.76347
43.5,0.52019,0.31233,-0.2141,0.76567
44.0,0.52093,0.31322,-0.21535,0.76446
44.5,0.53584,0.26845,-0.30806,0.73919
45.0,0.62632,0.52284,-0.30827,0.49039
45.5,0.31744,0.1205,-0.32612,0.88164
46.0,0.34925,0.22217,-0.26775,0.87035
46.5,0.42339,0.67867,-0.12003,0.58707
47.0,0.45201,0.46062,-0.06947,0.76155
47.5,0.60121,0.40314,-0.13323,0.67765
48.0,0.37951,0.27379,-0.21769,0.85727
48.5,0.4079,0.276,-0.22098,0.84196
49.0,0.44046,0.26817,-0.20969,0.8309
49.5,0.45125,0.25747,-0.20956,0.8285
50.0,0.46688,0.24838,-0.21914,0.8201
50.5,0.48223,0.24551,-0.22726,0.80981
51.0,0.50713,0.23397,-0.23878,0.79456
51.5,0.50364,0.23841,-0.21993,0.80087
52.0,0.50885,0.22157,-0.24042,0.79652
52.5,0.52657,0.22483,-0.23577,0.78539
53.0,0.49832,0.24578,-0.22248,0.80128
53.5,0.50232,0.23796,-0.22358,0.80082
54.0,0.50452,0.2363,-0.22662,0.79907
54.5,0.50726,0.2352,-0.22662,0.79765
55.0,0.50294,0.23652,-0.22694,0.7999
55.5,0.5003,0.24087,-0.21717,0.80297
56.0,0.50219,0.24618,-0.21249,0.80143
56.5,0.50649,0.24868,-0.2099,0.79863
57.0,0.51082,0.2472,-0.21272,0.79558
57.5,0.50963,0.24993,-0.21155,0.7958
58.0,0.5079,0.25027,-0.21506,0.79586
58.5,0.50523,0.24887,-0.21568,0.79783
59.0,0.50342,0.24885,-0.21636,0.7988
59.5,0.50248,0.25195,-0.21421,0.79899
60.0,0.50559,0.24921,-0.22265,0.79558
60.5,0.50524,0.24723,-0.22548,0.79562
61.0,0.50889,0.2442,-0.23516,0.79142
61.5,0.50301,0.24678,-0.23287,0.79505
62.0,0.50384,0.24553,-0.2374,0.79356
62.5,0.50713,0.24654,-0.23523,0.7918
63.0,0.51238,0.24648,-0.23356,0.78893
63.5,0.50774,0.25015,-0.23299,0.79094
64.0,0.50977,0.25143,-0.23248,0.78938
64.5,0.50529,0.25308,-0.23272,0.79166
65.0,0.50447,0.25568,-0.2293,0.79234
65.5,0.50075,0.25668,-0.22929,0.79438
66.0,0.48737,0.26146,-0.22766,0.80158
66.5,0.49702,0.25613,-0.23287,0.79586
67.0,0.49651,0.25715,-0.23324,0.79573
