time,w,x,y,z
0.0,0.44239,-0.02786,-0.89273,-0.08093
0.5,0.98527,-0.02521,-0.16716,0.00559
1.0,0.55411,-0.01978,-0.83267,-0.02098
1.5,0.8966,-0.02981,-0.44113,-0.00667
2.0,0.80157,-0.01884,-0.59831,0.00401
2.5,0.80014,-0.01511,-0.59982,0.00529
3.0,0.80073,-0.01879,-0.59893,-0.00131
3.5,0.80032,-0.0185,-0.5995,-0.00146
4.0,0.80163,-0.01911,-0.5977,-0.00405
4.5,0.78979,-0.00041,-0.61355,0.00704
5.0,0.78959,-0.00291,-0.61376,0.00957
5.5,0.79609,-0.01495,-0.6052,0.00099
6.0,0.79382,-0.00628,-0.60829,0.00599
6.5,0.79782,-0.00944,-0.603,0.00448
7.0,0.79868,-0.00901,-0.60184,0.00775
7.5,0.79999,-0.01695,-0.59997,0.00297
8.0,0.79659,-0.01546,-0.60441,0.01207
8.5,0.80031,-0.01298,-0.5994,0.0174
9.0,0.80521,-0.01148,-0.59274,0.02036
9.5,0.79456,-0.00524,-0.60712,0.01754
10.0,0.8058,-0.00549,-0.59196,0.02199
10.5,0.80494,-0.01117,-0.59332,0.01263
11.0,0.79729,0.01541,-0.60286,0.03046
11.5,0.79659,0.00915,-0.60419,0.02367
12.0,0.79469,-0.00161,-0.60703,0.01518
12.5,0.79739,0.00091,-0.60364,0.00482
13.0,0.79987,-0.01077,-0.60028,-0.00108
13.5,0.80009,-0.0087,-0.60001,0.00382
14.0,0.80079,-0.011,-0.59904,-7e-05
14.5,0.80008,-0.01576,-0.59985,-0.00679
15.0,0.79914,-0.01854,-0.60101,-0.00787
15.5,0.79918,-0.01706,-0.601,-0.00793
16.0,0.80044,-0.02265,-0.59917,-0.00461
16.5,0.81092,-0.01276,-0.58524,0.00111
17.0,0.81665,-0.01325,-0.57719,-0.00225
17.5,0.81654,-0.01964,-0.57707,-0.01092
18.0,0.81335,-0.02541,-0.5813,-0.01242
18.5,0.81693,-0.02765,-0.57615,-0.01256
19.0,0.8078,-0.01957,-0.58935,-0.00075
19.5,0.80557,-0.02065,-0.59234,0.00179
20.0,0.79937,-0.02046,-0.60068,-0.00293
20.5,0.81227,-0.038,-0.58199,-0.01806
21.0,0.79948,-0.02178,-0.60052,-0.00092
21.5,0.80312,-0.01199,-0.59578,0.01197
22.0,0.80321,-0.00888,-0.5957,0.01271
22.5,0.80378,-0.01395,-0.59485,0.01217
23.0,0.80205,-0.02155,-0.59706,0.00509
23.5,0.80274,-0.01668,-0.59626,0.00756
24.0,0.80444,0.02729,-0.59132,0.05296
24.5,0.80284,-0.00129,-0.59603,0.02205
25.0,0.80341,-0.00426,-0.59559,0.00624
25.5,0.80226,1e-04,-0.59702,0.014
26.0,0.80301,-0.00042,-0.59596,0.01591
26.5,0.8012,-0.02043,-0.59824,-0.00571
27.0,0.80245,-0.0089,-0.59681,0.00778
27.5,0.80294,-0.00313,-0.59617,0.01
28.0,0.80295,-0.01163,-0.59614,0.00151
28.5,0.80237,-0.01483,-0.59685,0.00161
29.0,0.80193,0.00063,-0.59737,0.01745
